,New_feature,Volume,Subjectivity,Sentiment,NIFTY50,NIFTY50_train_pred
16456,18302.0,538700.0,0.35,1.0,1.0,
7493,11726.0,305500.0,0.0,0.0,1.0,1.0
8998,11285.0,809900.0,0.375,-1.0,0.0,1.0
3818,10313.0,456200.0,0.0,0.0,0.0,1.0
797,10128.0,344400.0,0.0,0.0,0.0,1.0
10996,12211.0,593200.0,0.5,1.0,1.0,1.0
18493,15836.0,391400.0,0.0,0.0,1.0,
9519,11522.0,797600.0,0.2,1.0,1.0,1.0
6580,10736.0,286200.0,0.0,0.0,0.0,1.0
2622,10972.0,210600.0,0.2,1.0,1.0,1.0
6867,11599.0,272500.0,0.0,0.0,0.0,1.0
16697,15024.0,712200.0,0.0,0.0,0.0,
1750,10671.0,232600.0,0.7,-1.0,1.0,1.0
11241,12057.0,524700.0,0.0,0.0,0.0,1.0
18148,8371.0,593300.0,0.233333333,1.0,0.0,
5322,10790.0,269400.0,0.476641145,1.0,0.0,1.0
1123,10561.0,262600.0,0.2125,1.0,1.0,1.0
3104,11399.0,290600.0,0.45,1.0,0.0,1.0
20016,18141.0,418700.0,0.410416667,1.0,1.0,
85,11681.0,346500.0,0.75,1.0,1.0,1.0
14345,11360.0,681300.0,0.0,0.0,1.0,1.0
18124,15692.0,457900.0,0.75,1.0,1.0,
14703,11249.0,498300.0,0.0,0.0,0.0,
9638,11591.0,812000.0,0.666666667,-1.0,1.0,1.0
9992,11994.0,557700.0,0.0,0.0,0.0,1.0
19763,17891.0,324100.0,0.0,0.0,1.0,
3102,11399.0,290600.0,0.0,0.0,0.0,1.0
10679,11097.0,642600.0,0.0,0.0,0.0,1.0
10735,11242.0,499300.0,0.0,0.0,1.0,1.0
12559,9475.0,846400.0,0.0,0.0,0.0,1.0
20558,17115.0,254100.0,0.0,0.0,0.0,
11531,11623.0,608600.0,0.25,0.0,0.0,1.0
10100,12084.0,584200.0,0.0,0.0,1.0,1.0
8669,10833.0,691300.0,0.0,0.0,1.0,1.0
5728,10669.0,410100.0,0.45,1.0,0.0,1.0
15744,12692.0,880500.0,0.335646259,-1.0,1.0,
10987,12159.0,500.0,0.0,0.0,0.0,1.0
6432,11503.0,386200.0,0.233333333,1.0,0.0,1.0
7928,11734.0,380300.0,0.25,1.0,1.0,1.0
7482,12016.0,315300.0,0.05,0.0,1.0,1.0
20299,10722.0,215400.0,1.0,-1.0,1.0,
7697,10699.0,694400.0,0.454545455,1.0,1.0,1.0
