Date,Open,High,Low,Adjusted Close,Volume,Subjectivity,Polarity,Sentiment,NIFTY50,NIFTY BANK,NIFTY INFRA,NIFTY AUTO,NIFTYMEDIA,NIFTY IT
02-01-2018,10477.54981,10495.2002,10404.65039,10442.2002,153400,0.4,0.4,1,0,0,0,1,1,0
02-01-2018,10477.54981,10495.2002,10404.65039,10442.2002,153400,0,0,0,0,0,0,1,1,0
02-01-2018,10477.54981,10495.2002,10404.65039,10442.2002,153400,0,0,0,0,0,0,1,1,0
02-01-2018,11334.84961,11359.29981,11269.9502,11300.4502,562400,0,0,0,0,0,0,1,1,0
02-01-2018,10790.40039,10858.75,10746.34961,10844.65039,508800,0.95,0.6,1,0,0,0,1,1,0
02-01-2018,10552,10600.25,10491.4502,10530,0,0,0,0,0,0,0,1,1,0
02-01-2018,14782.25,14854.5,14651.84961,14707.79981,744100,0.4,-0.3,-1,1,0,0,1,1,0
02-01-2018,10311.9502,10337.9502,10223.59961,10312.40039,574500,0.556944444,0.040277778,1,0,0,0,1,1,0
02-01-2018,11135,11239.79981,11103.15039,11215.4502,621600,0.625,-0.375,-1,1,0,0,1,1,0
03-01-2018,10482.65039,10503.59961,10429.54981,10443.2002,167300,0,0,0,0,1,1,0,1,0
03-01-2018,10482.65039,10503.59961,10429.54981,10443.2002,167300,0,0,0,0,1,1,0,1,0
03-01-2018,10482.65039,10503.59961,10429.54981,10443.2002,167300,0.1,-0.025,-1,0,1,1,0,1,0
03-01-2018,10482.65039,10503.59961,10429.54981,10443.2002,167300,0,0,0,0,1,1,0,1,0
03-01-2018,10482.65039,10503.59961,10429.54981,10443.2002,167300,0.25625,0.025,1,0,1,1,0,1,0
03-01-2018,10482.65039,10503.59961,10429.54981,10443.2002,167300,0,0,0,0,1,1,0,1,0
03-01-2018,10482.65039,10503.59961,10429.54981,10443.2002,167300,0.45218254,0.254828042,1,0,1,1,0,1,0
03-01-2018,10482.65039,10503.59961,10429.54981,10443.2002,167300,0.483854447,0.225220126,1,0,1,1,0,1,0
04-01-2018,10469.40039,10513,10441.4502,10504.79981,174900,0,0,0,1,1,1,0,1,1
04-01-2018,11261.90039,11426.15039,11259.84961,11407.15039,412100,0.49460077,0.216233766,1,1,1,1,0,1,1
04-01-2018,10913.2002,10923.54981,10853.2002,10862.54981,180900,0,0,0,1,1,1,0,1,1
04-01-2018,14996.09961,15051.59961,14890.65039,14910.4502,100,0.8,0.4,1,0,1,1,0,1,1
04-01-2018,17201.44922,17264.05078,17146.34961,17203.94922,320800,0.275,-0.133333333,-1,0,1,1,0,1,1
04-01-2018,17201.44922,17264.05078,17146.34961,17203.94922,320800,0.041666667,0,0,0,1,1,0,1,1
04-01-2018,12247.09961,12247.09961,12151.79981,12168.4502,426900,0.633333333,0.133333333,1,0,1,1,0,1,1
04-01-2018,10844.04981,10866.59961,10798.65039,10849.79981,361100,0.508333333,-0.041666667,-1,1,1,1,0,1,1
04-01-2018,10913.2002,10923.54981,10853.2002,10862.54981,180900,0,0,0,1,1,1,0,1,1
04-01-2018,12247.09961,12247.09961,12151.79981,12168.4502,426900,0.602272727,0.005681818,1,0,1,1,0,1,1
04-01-2018,17201.44922,17264.05078,17146.34961,17203.94922,320800,0.433333333,0.066666667,1,0,1,1,0,1,1
04-01-2018,17201.44922,17264.05078,17146.34961,17203.94922,320800,0,0,0,0,1,1,0,1,1
04-01-2018,13980.90039,13997,13864.9502,13981.9502,380700,0.333333333,0.25,1,1,1,1,0,1,1
04-01-2018,10913.2002,10923.54981,10853.2002,10862.54981,180900,0.516666667,0.216666667,1,1,1,1,0,1,1
04-01-2018,17201.44922,17264.05078,17146.34961,17203.94922,320800,0,0,0,0,1,1,0,1,1
04-01-2018,17201.44922,17264.05078,17146.34961,17203.94922,320800,0,0,0,0,1,1,0,1,1
05-01-2018,10534.25,10566.09961,10520.09961,10558.84961,180900,0.57125,0.240729167,1,0,1,1,1,1,1
05-01-2018,10534.25,10566.09961,10520.09961,10558.84961,180900,0.55,-0.01,-1,0,1,1,1,1,1
05-01-2018,10534.25,10566.09961,10520.09961,10558.84961,180900,0.343838384,0.132929293,1,0,1,1,1,1,1
05-01-2018,10534.25,10566.09961,10520.09961,10558.84961,180900,0.552380952,0.3,1,0,1,1,1,1,1
05-01-2018,10534.25,10566.09961,10520.09961,10558.84961,180900,0.5,0.1875,1,0,1,1,1,1,1
05-01-2018,10534.25,10566.09961,10520.09961,10558.84961,180900,0,0,0,0,1,1,1,1,1
05-01-2018,10994.84961,11052.7002,10968.2002,11003.5,434500,0,0,0,0,1,1,1,1,1
05-01-2018,17619.09961,17639.5,17355.94922,17368.25,256600,0.388333333,-0.018333333,-1,0,1,1,1,1,1
05-01-2018,10705.75,10759,10704.59961,10739.34961,173800,0.75,-0.15,-1,1,1,1,1,1,1
05-01-2018,10705.75,10759,10704.59961,10739.34961,173800,0.75,-0.15,-1,1,1,1,1,1,1
05-01-2018,10705.75,10759,10704.59961,10739.34961,173800,0.2625,0,0,1,1,1,1,1,1
05-01-2018,10705.75,10759,10704.59961,10739.34961,173800,0.522222222,0.264393939,1,1,1,1,1,1,1
05-01-2018,10705.75,10759,10704.59961,10739.34961,173800,0.65,0.45,1,1,1,1,1,1,1
05-01-2018,10705.75,10759,10704.59961,10739.34961,173800,0.166666667,-0.166666667,-1,1,1,1,1,1,1
05-01-2018,17657.94922,17781.75,17608.15039,17711.30078,562200,0.4,-0.1,-1,0,1,1,1,1,1
05-01-2018,12333.09961,12374.25,12308.7002,12362.29981,616300,0.4,-0.1,-1,1,1,1,1,1,1
05-01-2018,10705.75,10759,10704.59961,10739.34961,173800,0.30952381,0.121428571,1,1,1,1,1,1,1
